,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
1195,Let's Get Married,"4,59,72,724","4,62,918","4,55,09,806",2015,1.007,98.993
1196,Asterix: The Secret of the Magic Potion,"4,59,72,321","12,71,953","4,47,00,368",2018,2.767,97.233
1197,Gintama Live Action the Movie,"4,57,46,967",0,"4,57,46,967",2017,0.000,100.000
1198,Somewhere Only We Know,"4,57,37,711","4,82,341","4,52,55,370",2015,1.055,98.945
1199,Chasing the Dragon II: Wild Wild Bunch,"4,57,33,356","1,96,634","4,55,36,722",2019,0.430,99.570
1200,"McFarland, USA","4,57,10,059","4,44,82,410","12,27,649",2015,97.314,2.686
1201,Judy,"4,57,01,880","2,43,13,888","2,13,87,992",2019,53.201,46.799
1202,Guilty of Mind,"4,56,98,503",0,"4,56,98,503",2017,0.000,100.000
1203,Earth to Echo,"4,56,81,062","3,89,34,842","67,46,220",2014,85.232,14.768
1204,That Awkward Moment,"4,56,40,143","2,60,68,955","1,95,71,188",2014,57.118,42.882
1205,The Debt,"4,56,36,368","3,11,77,548","1,44,58,820",2011,68.317,31.683
1206,Bajrangi Bhaijaan 2018 Re-release,"4,55,79,004",0,"4,55,79,004",2018,0.000,100.000
1207,Hero,"4,55,65,534","88,675","4,54,76,859",2015,0.195,99.805
1208,Love on the Cloud,"4,53,86,560","2,71,734","4,51,14,826",2014,0.599,99.401
1209,Tanhaji: The Unsung Warrior,"4,52,21,814",0,"4,52,21,814",2020,0.000,100.000
1210,Blair Witch,"4,51,73,154","2,07,77,061","2,43,96,093",2016,45.994,54.006
1211,Flatliners,"4,51,58,254","1,68,83,115","2,82,75,139",2017,37.387,62.613
1212,Boonie Bears: The Big Top Secret,"4,51,50,390",0,"4,51,50,390",2016,0.000,100.000
1213,Grudge Match,"4,49,07,260","2,98,07,260","1,51,00,000",2013,66.375,33.625
1214,Child's Play,"4,49,07,074","2,92,08,403","1,56,98,671",2019,65.042,34.958
1215,Still Alice,"4,47,79,195","1,87,54,371","2,60,24,824",2015,41.882,58.118
1216,The White Storm,"4,46,70,277",0,"4,46,70,277",2013,0.000,100.000
1217,Bad Genius,"4,45,60,421",0,"4,45,60,421",2017,0.000,100.000
1218,Mother!,"4,45,16,999","1,78,00,004","2,67,16,995",2017,39.985,60.015
1219,Oculus,"4,44,46,287","2,76,95,246","1,67,51,041",2014,62.312,37.688
1220,Detective Conan: The Eleventh Striker,"4,43,69,456",0,"4,43,69,456",2012,0.000,100.000
1221,Unhinged,"4,43,31,465","2,08,31,465","2,35,00,000",2020,46.990,53.010
1222,House at the End of the Street,"4,42,87,131","3,16,11,916","1,26,75,215",2012,71.379,28.621
1223,Tarzan,"4,40,95,996",0,"4,40,95,996",2013,0.000,100.000
1224,The Great Hypnotist,"4,40,77,818",0,"4,40,77,818",2014,0.000,100.000
1225,Winchester,"4,40,19,588","2,50,91,816","1,89,27,772",2018,57.001,42.999
1226,Kick,"4,39,96,483","24,72,695","4,15,23,788",2014,5.620,94.380
1227,Wind River,"4,39,80,821","3,38,00,859","1,01,79,962",2017,76.854,23.146
1228,Max,"4,39,67,255","4,26,56,255","13,11,000",2015,97.018,2.982
1229,The End of Endless Love,"4,39,50,000",0,"4,39,50,000",2020,0.000,100.000
1230,Battle of Memories,"4,38,92,362","5,94,552","4,32,97,810",2017,1.355,98.645
1231,Son of a Rich,"4,38,33,888",0,"4,38,33,888",2019,0.000,100.000
1232,Café Society,"4,37,63,247","1,11,03,205","3,26,60,042",2016,25.371,74.629
1233,Richard Jewell,"4,37,45,542","2,23,45,542","2,14,00,000",2019,51.081,48.919
1234,The DUFF,"4,37,09,744","3,40,30,343","96,79,401",2015,77.855,22.145
1235,League of Gods,"4,34,98,766","1,81,633","4,33,17,133",2016,0.418,99.582
1236,Secretly Greatly,"4,34,47,199",0,"4,34,47,199",2013,0.000,100.000
1237,Harriet,"4,33,47,017","4,30,82,155","2,64,862",2019,99.389,0.611
1238,Beastly,"4,32,02,283","2,78,65,571","1,53,36,712",2011,64.500,35.500
1239,The Snowman,"4,31,55,261","67,00,035","3,64,55,226",2017,15.525,84.475
1240,A Shaun the Sheep Movie: Farmageddon,"4,31,00,248",0,"4,31,00,248",2019,0.000,100.000
1241,Annihilation,"4,30,70,915","3,27,32,301","1,03,38,614",2018,75.996,24.004
1242,Gifted,"4,30,46,590","2,48,01,212","1,82,45,378",2017,57.615,42.385
1243,The Possession of Hannah Grace,"4,30,16,528","1,48,37,422","2,81,79,106",2018,34.492,65.508
1244,Legend,"4,29,72,994","18,72,994","4,11,00,000",2015,4.359,95.641
1245,"The Chef, The Actor, The Scoundrel","4,29,70,000",0,"4,29,70,000",2013,0.000,100.000
1246,The Gallows,"4,29,64,410","2,27,64,410","2,02,00,000",2015,52.984,47.016
1247,Asterix and Obelix: Mansion of the Gods,"4,28,30,578",0,"4,28,30,578",2014,0.000,100.000
1248,Detective Conan: Quarter of Silence,"4,28,08,575",0,"4,28,08,575",2011,0.000,100.000
1249,Doraemon: Nobita's Secret Gadget Museum,"4,27,70,271",0,"4,27,70,271",2013,0.000,100.000
1250,Shaolin,"4,27,41,494","66,099","4,26,75,395",2011,0.155,99.845
1251,Peninsula,"4,26,98,327","12,31,407","4,14,66,920",2020,2.884,97.116
1252,Almost Christmas,"4,25,80,920","4,21,58,780","4,22,140",2016,99.009,0.991
1253,Thermae Romae II,"4,24,73,163",0,"4,24,73,163",2014,0.000,100.000
1254,Love the Coopers,"4,24,26,912","2,63,02,731","1,61,24,181",2015,61.995,38.005
1255,Loving Vincent,"4,21,87,665","67,35,118","3,54,52,547",2017,15.965,84.035
1256,The Throne,"4,21,65,755",0,"4,21,65,755",2015,0.000,100.000
1257,Monster Hunter,"4,21,45,959","1,51,62,470","2,69,83,489",2020,35.976,64.024
1258,Long Day's Journey Into Night,"4,21,40,994","5,21,365","4,16,19,629",2018,1.237,98.763
1259,Jobs,"4,21,28,352","1,61,31,410","2,59,96,942",2013,38.291,61.709
1260,Bang Bang,"4,20,45,981","25,46,172","3,94,99,809",2014,6.056,93.944
1261,Detective Conan: The Sniper from Another Dimension,"4,20,28,116",0,"4,20,28,116",2014,0.000,100.000
1262,Mary and the Witch's Flower,"4,19,78,431","24,18,404","3,95,60,027",2017,5.761,94.239
1263,Rurouni Kenshin: The Legend Ends,"4,19,00,000",0,"4,19,00,000",2014,0.000,100.000
1264,"As Above, So Below","4,18,98,409","2,13,21,100","2,05,77,309",2014,50.888,49.112
1265,Call Me by Your Name,"4,18,87,595","1,80,95,701","2,37,91,894",2017,43.201,56.799
1266,The Guilt Trip,"4,18,63,726","3,71,34,215","47,29,511",2012,88.703,11.297
1267,No Man's Land,"4,18,07,712",0,"4,18,07,712",2013,0.000,100.000
1268,T2 Trainspotting,"4,16,81,746","24,02,004","3,92,79,742",2017,5.763,94.237
1269,Overlord,"4,16,57,844","2,17,04,844","1,99,53,000",2018,52.103,47.897
1270,Born to Be Wild,"4,16,44,475","2,59,78,556","1,56,65,919",2011,62.382,37.618
1271,Safe,"4,15,64,670","1,71,42,080","2,44,22,590",2012,41.242,58.758
1272,The Great Battle,"4,15,09,280","4,72,166","4,10,37,114",2018,1.137,98.863
1273,Lupin III vs. Detective Conan: The Movie,"4,13,97,727",0,"4,13,97,727",2013,0.000,100.000
1274,The Lady in the Van,"4,13,87,687","1,00,21,175","3,13,66,512",2015,24.213,75.787
1275,Shark Night,"4,13,63,927","1,88,77,153","2,24,86,774",2011,45.637,54.363
1276,Ricki and the Flash,"4,13,25,328","2,68,22,144","1,45,03,184",2015,64.905,35.095
1277,This Is Where I Leave You,"4,12,96,320","3,42,96,320","70,00,000",2014,83.049,16.951
1278,The Darkest Minds,"4,11,42,379","1,26,95,691","2,84,46,688",2018,30.858,69.142
1279,50/50,"4,10,97,853","3,50,14,192","60,83,661",2011,85.197,14.803
1280,Fist Fight,"4,10,87,017","3,21,87,017","89,00,000",2017,78.339,21.661
1281,"Lost, Found","4,10,43,552",0,"4,10,43,552",2018,0.000,100.000
1282,Dredd,"4,10,37,742","1,34,14,714","2,76,23,028",2012,32.689,67.311
1283,Fright Night,"4,10,02,607","1,83,02,607","2,27,00,000",2011,44.638,55.362
1284,La vérité si je mens! 3,"4,09,28,635",0,"4,09,28,635",2012,0.000,100.000
1285,Always: Sunset on Third Street '64,"4,09,23,305",0,"4,09,23,305",2012,0.000,100.000
1286,Drive Angry,"4,09,09,909","1,07,21,033","3,01,88,876",2011,26.206,73.794
1287,Underwater,"4,08,82,928","1,72,91,078","2,35,91,850",2020,42.294,57.706
1288,Fighting with My Family,"4,08,12,363","2,29,58,886","1,78,53,477",2019,56.255,43.745
1289,The War with Grandpa,"4,06,96,162","2,12,77,892","1,94,18,270",2020,52.285,47.715
1290,30 Minutes or Less,"4,06,62,632","3,70,53,924","36,08,708",2011,91.125,8.875
1291,The Circle,"4,06,56,399","2,04,97,844","2,01,58,555",2017,50.417,49.583
1292,Ocho apellidos catalanes,"4,05,91,862",0,"4,05,91,862",2015,0.000,100.000
1293,Gantz,"4,05,68,961",0,"4,05,68,961",2011,0.000,100.000
1294,The Roommate,"4,04,92,652","3,73,00,000","31,92,652",2011,92.115,7.885
1295,Holmes & Watson,"4,04,66,970","3,05,73,626","98,93,344",2018,75.552,24.448
1296,The Witch,"4,04,23,945","2,51,38,705","1,52,85,240",2016,62.188,37.812
1297,Masquerade Hotel,"4,03,96,244",0,"4,03,96,244",2019,0.000,100.000
1298,Carol,"4,02,72,135","1,27,11,491","2,75,60,644",2015,31.564,68.436
1299,Yolki 3,"4,02,67,368",0,"4,02,67,368",2013,0.000,100.000
1300,SP: The Motion Picture II,"4,02,55,101",0,"4,02,55,101",2011,0.000,100.000
1301,Boonie Bears: To the Rescue,"4,01,63,675",0,"4,01,63,675",2014,0.000,100.000
1302,Diary of a Wimpy Kid: The Long Haul,"4,01,40,972","2,07,38,724","1,94,02,248",2017,51.665,48.335
1303,The Wild Life,"4,00,75,446","80,05,586","3,20,69,860",2016,19.976,80.024
1304,Northern Limit Line,"4,00,34,677","3,37,907","3,96,96,770",2015,0.844,99.156
1305,Dream House,"3,99,84,400","2,13,02,340","1,86,82,060",2011,53.277,46.723
1306,Love O2O,"3,99,69,537",0,"3,99,69,537",2016,0.000,100.000
1307,Brotherhood of Blades 2,"3,99,66,092","14,204","3,99,51,888",2017,0.036,99.964
1308,Monte Carlo,"3,97,82,683","2,31,86,769","1,65,95,914",2011,58.284,41.716
1309,Eiga Kaibutsukun,"3,97,66,344",0,"3,97,66,344",2011,0.000,100.000
1310,The Last Wish,"3,97,56,292",0,"3,97,56,292",2019,0.000,100.000
1311,Midnight Runners,"3,97,30,433",0,"3,97,30,433",2017,0.000,100.000
1312,The Forest,"3,97,12,000","2,65,94,261","1,31,17,739",2016,66.968,33.032
1313,The November Man,"3,96,61,919","2,50,18,119","1,46,43,800",2014,63.078,36.922
1314,Intimate Strangers,"3,95,76,060",0,"3,95,76,060",2018,0.000,100.000
1315,Thugs of Hindostan,"3,95,70,044","14,49,848","3,81,20,196",2018,3.664,96.336
1316,Recep Ivedik 4,"3,94,77,906",0,"3,94,77,906",2014,0.000,100.000
1317,Don Jon,"3,94,39,355","2,44,77,704","1,49,61,651",2013,62.064,37.936
1318,Sin City: A Dame to Kill For,"3,94,07,616","1,37,57,804","2,56,49,812",2014,34.912,65.088
1319,Uri: The Surgical Strike,"3,93,46,577","41,86,168","3,51,60,409",2019,10.639,89.361
1320,The Gambler,"3,92,80,992","3,36,80,992","56,00,000",2014,85.744,14.256
1321,Mars Needs Moms,"3,92,33,678","2,13,92,758","1,78,40,920",2011,54.527,45.473
1322,Absolutely Fabulous: The Movie,"3,92,19,109","47,72,155","3,44,46,954",2016,12.168,87.832
1323,My Mom Is a Character 2,"3,91,95,565",0,"3,91,95,565",2016,0.000,100.000
1324,Sink or Swim,"3,91,93,850",0,"3,91,93,850",2018,0.000,100.000
1325,Samba,"3,91,78,695","1,51,530","3,90,27,165",2014,0.387,99.613
1326,Show Dogs,"3,91,56,854","1,78,57,020","2,12,99,834",2018,45.604,54.396
1327,Women Who Flirt,"3,91,56,132","3,75,495","3,87,80,637",2014,0.959,99.041
1328,Masterpiece Mystery: Sherlock: The Abominable Bride,"3,91,39,204",0,"3,91,39,204",2016,0.000,100.000
1329,Ex-Files 2: The Backup Strikes Back,"3,91,08,291",0,"3,91,08,291",2015,0.000,100.000
1330,Believer,"3,90,47,153","3,65,639","3,86,81,514",2018,0.936,99.064
1331,The Crown Jewels,"3,90,00,000",0,"3,90,00,000",2011,0.000,100.000
1332,Forbidden Empire 2014 Re-release,"3,88,85,962",0,"3,88,85,962",2014,0.000,100.000
1333,The Spy Gone North,"3,88,44,509","5,00,803","3,83,43,706",2018,1.289,98.711
1334,Criminal,"3,88,03,993","1,47,08,696","2,40,95,297",2015,37.905,62.095
1335,Antoine and Sebastian,"3,87,19,881",0,"3,87,19,881",2013,0.000,100.000
1336,On the Basis of Sex,"3,86,73,750","2,46,22,687","1,40,51,063",2018,63.668,36.332
1337,"Crouching Tiger, Hidden Dragon: Sword of Destiny","3,86,59,039",0,"3,86,59,039",2016,0.000,100.000
1338,The Best of Me,"3,86,09,668","2,67,66,213","1,18,43,455",2014,69.325,30.675
1339,Taxi 5,"3,85,98,227",0,"3,85,98,227",2018,0.000,100.000
1340,Million Dollar Arm,"3,84,83,455","3,64,57,627","20,25,828",2014,94.736,5.264
1341,Chernobyl Diaries,"3,83,90,020","1,81,19,640","2,02,70,380",2012,47.199,52.801
1342,Boruto: Naruto The Movie,"3,83,62,448","9,19,651","3,74,42,797",2015,2.397,97.603
1343,The Lazarus Effect,"3,83,56,892","2,58,01,570","1,25,55,322",2015,67.267,32.733
1344,Don't Be Afraid of the Dark,"3,82,69,529","2,40,46,682","1,42,22,847",2011,62.835,37.165
1345,The Water Diviner,"3,81,76,317","41,96,641","3,39,79,676",2014,10.993,89.007
1346,Jumping the Broom,"3,81,58,601","3,72,95,394","8,63,207",2011,97.738,2.262
1347,One for the Money,"3,80,80,789","2,64,14,527","1,16,66,262",2011,69.364,30.636
1348,But Always,"3,80,39,248","4,30,760","3,76,08,488",2014,1.132,98.868
1349,Overcomer,"3,80,26,103","3,47,46,945","32,79,158",2019,91.377,8.623
1350,The Eagle,"3,79,89,684","1,94,90,041","1,84,99,643",2011,51.304,48.696
1351,Helios,"3,79,38,005",0,"3,79,38,005",2015,0.000,100.000
1352,Killing Them Softly,"3,79,30,465","1,50,26,056","2,29,04,409",2012,39.615,60.385
1353,The King,"3,78,86,707",0,"3,78,86,707",2017,0.000,100.000
1354,Hell or High Water,"3,78,79,877","2,70,07,844","1,08,72,033",2016,71.299,28.701
1355,Cold Eyes,"3,77,95,598",0,"3,77,95,598",2013,0.000,100.000
1356,Mission Milano,"3,77,49,848",0,"3,77,49,848",2016,0.000,100.000
1357,The Handmaiden,"3,76,92,886","20,06,788","3,56,86,098",2016,5.324,94.676
1358,Rurouni Kenshin Part I: Origins,"3,76,54,579",0,"3,76,54,579",2012,0.000,100.000
1359,Pokémon the Movie: I Choose You!,"3,75,52,144","24,01,722","3,51,50,422",2017,6.396,93.604
1360,Fat Buddies,"3,74,96,410",0,"3,74,96,410",2018,0.000,100.000
1361,A Walk in the Woods,"3,74,61,274","2,95,04,281","79,56,993",2015,78.759,21.241
1362,Sarileru Neekevvaru,"3,73,89,889","8,21,000","3,65,68,889",2020,2.196,97.804
1363,Pain and Glory,"3,73,59,689","45,67,338","3,27,92,351",2019,12.225,87.775
1364,Snowden,"3,73,57,216","2,15,87,519","1,57,69,697",2016,57.787,42.213
1365,Home Again,"3,72,70,721","2,70,20,284","1,02,50,437",2017,72.497,27.503
1366,"Like Father, Like Son","3,71,70,163","3,34,616","3,68,35,547",2013,0.900,99.100
1367,A Witness Out of the Blue,"3,70,92,694",0,"3,70,92,694",2019,0.000,100.000
1368,Till The End Of The World,"3,70,13,733","1,18,660","3,68,95,073",2018,0.321,99.679
1369,2,"3,69,45,969","41,52,000","3,27,93,969",2018,11.238,88.762
1370,Devil's Due,"3,69,21,560","1,58,21,461","2,11,00,099",2014,42.852,57.148
1371,Ex Machina,"3,68,69,414","2,54,42,958","1,14,26,456",2015,69.008,30.992
1372,The Adventurers,"3,67,96,816","2,16,556","3,65,80,260",2017,0.589,99.411
1373,New Interpretation Records of the Three Kingdoms,"3,67,47,486",0,"3,67,47,486",2020,0.000,100.000
1374,Burnt,"3,66,06,743","1,36,51,946","2,29,54,797",2015,37.294,62.706
1375,The Intruder,"3,65,99,361","3,54,19,122","11,80,239",2019,96.775,3.225
1376,The Priests,"3,65,77,134","1,85,093","3,63,92,041",2015,0.506,99.494
1377,The Tower,"3,65,12,327",0,"3,65,12,327",2012,0.000,100.000
1378,Detective Conan: Private Eye in the Distant Sea,"3,63,24,232",0,"3,63,24,232",2013,0.000,100.000
1379,A Most Wanted Man,"3,62,33,517","1,72,37,855","1,89,95,662",2014,47.574,52.426
1380,A Very Harold & Kumar Christmas,"3,61,92,775","3,50,61,031","11,31,744",2011,96.873,3.127
1381,Nobunaga Concerto: The Movie,"3,61,87,594",0,"3,61,87,594",2016,0.000,100.000
1382,Dügün Dernek,"3,61,85,741",0,"3,61,85,741",2013,0.000,100.000
1383,The Confidence Man JP: Princess,"3,61,09,913",0,"3,61,09,913",2020,0.000,100.000
1384,Nothing to Lose,"3,60,75,317","10,16,188","3,50,59,129",2018,2.817,97.183
1385,T-34,"3,59,50,901",0,"3,59,50,901",2018,0.000,100.000
1386,Kundo: Age of the Rampant,"3,59,41,291","2,80,958","3,56,60,333",2014,0.782,99.218
1387,Ra.One,"3,59,11,689","25,11,689","3,34,00,000",2011,6.994,93.006
1388,Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,"3,58,61,856",0,"3,58,61,856",2014,0.000,100.000
1389,Conquest 1453,"3,57,97,045","35,730","3,57,61,315",2012,0.100,99.900
1390,The New Adventures of Aladdin,"3,57,71,820",0,"3,57,71,820",2015,0.000,100.000
1391,Heidi,"3,57,55,670",0,"3,57,55,670",2015,0.000,100.000
1392,"Tad, the Lost Explorer, and the Secret of King Midas","3,57,04,046","5,874","3,56,98,172",2017,0.016,99.984
1393,Hostiles,"3,56,69,017","2,98,19,114","58,49,903",2017,83.599,16.401
1394,The Terror Live,"3,56,59,824",0,"3,56,59,824",2013,0.000,100.000
1395,Good Deeds,"3,55,79,177","3,50,25,791","5,53,386",2012,98.445,1.555
1396,The Queen's Corgi,"3,55,15,687",0,"3,55,15,687",2019,0.000,100.000
1397,Mia and the White Lion,"3,54,87,190","3,99,471","3,50,87,719",2018,1.126,98.874
1398,Arbitrage,"3,54,85,056","79,19,574","2,75,65,482",2012,22.318,77.682
1399,Hide and Seek,"3,54,61,505",0,"3,54,61,505",2013,0.000,100.000
1400,Room,"3,54,01,758","1,46,77,654","2,07,24,104",2015,41.460,58.540
1401,Namiya,"3,53,51,623","70,814","3,52,80,809",2017,0.200,99.800
1402,Eye in the Sky,"3,52,59,653","1,87,04,595","1,65,55,058",2016,53.048,46.952
1403,Les Tuche 2: The American Dream,"3,52,10,425",0,"3,52,10,425",2016,0.000,100.000
1404,Courageous,"3,51,85,884","3,45,22,221","6,63,663",2011,98.114,1.886
1405,Destiny: The Tale of Kamakura,"3,51,66,640",0,"3,51,66,640",2017,0.000,100.000
1406,The Girl in the Spider's Web,"3,51,64,920","1,48,41,338","2,03,23,582",2018,42.205,57.795
1407,My Week with Marilyn,"3,50,57,696","1,46,00,347","2,04,57,349",2011,41.647,58.353
1408,The Liquidator,"3,50,46,130",0,"3,50,46,130",2017,0.000,100.000
1409,Welcome to the North,"3,49,95,189",0,"3,49,95,189",2012,0.000,100.000
1410,Blind Detective,"3,49,58,596",0,"3,49,58,596",2013,0.000,100.000
1411,When Marnie Was There,"3,49,49,567","5,61,085","3,43,88,482",2014,1.605,98.395
1412,The Sitter,"3,49,42,188","3,04,41,326","45,00,862",2011,87.119,12.881
1413,The Hate U Give,"3,49,34,009","2,97,19,483","52,14,526",2018,85.073,14.927
1414,Lost and Love,"3,49,30,177","1,88,817","3,47,41,360",2015,0.541,99.459
1415,Secret in Their Eyes,"3,48,54,990","2,01,80,155","1,46,74,835",2015,57.897,42.103
1416,"Dad, Where Are We Going 2","3,48,40,000",0,"3,48,40,000",2015,0.000,100.000
1417,Chimpanzee,"3,48,23,764","2,89,72,764","58,51,000",2012,83.198,16.802
1418,Kidnap,"3,48,14,102","3,09,71,040","38,43,062",2017,88.961,11.039
1419,Doraemon: Nobita and the Space Heroes,"3,48,11,747",0,"3,48,11,747",2015,0.000,100.000
1420,Broken City,"3,47,37,199","1,97,01,164","1,50,36,035",2013,56.715,43.285
1421,Endless Love,"3,47,18,173","2,34,38,250","1,12,79,923",2014,67.510,32.490
1422,Jane Eyre,"3,47,10,627","1,12,42,660","2,34,67,967",2011,32.390,67.610
1423,The Man Standing Next,"3,46,64,900","1,13,527","3,45,51,373",2020,0.327,99.673
1424,Alex Cross,"3,46,18,867","2,58,88,412","87,30,455",2012,74.781,25.219
1425,R.A.I.D. Special Unit,"3,45,98,750",0,"3,45,98,750",2017,0.000,100.000
1426,Salmon Fishing in the Yemen,"3,45,64,651","90,47,981","2,55,16,670",2012,26.177,73.823
1427,Haywire,"3,45,13,760","1,89,42,396","1,55,71,364",2012,54.884,45.116
1428,Steve Jobs,"3,44,41,873","1,77,66,658","1,66,75,215",2015,51.584,48.416
1429,Adventures in Zambezia,"3,44,28,345",0,"3,44,28,345",2012,0.000,100.000
1430,My Mom is a Character 3,"3,43,60,029",0,"3,43,60,029",2020,0.000,100.000
1431,Warrior of the Hornor,"3,42,91,831",0,"3,42,91,831",2019,0.000,100.000
1432,Victor Frankenstein,"3,42,27,298","57,75,076","2,84,52,222",2015,16.873,83.127
1433,The House,"3,41,84,504","2,55,84,504","86,00,000",2017,74.842,25.158
1434,Cirque du Soleil: Worlds Away,"3,41,53,101","1,25,12,862","2,16,40,239",2012,36.638,63.362
1435,The Battle: Roar to Victory,"3,41,48,707",0,"3,41,48,707",2019,0.000,100.000
1436,Black & White: The Dawn of Justice,"3,41,46,896",0,"3,41,46,896",2014,0.000,100.000
1437,The Bad Guys: The Movie,"3,40,24,386","1,66,972","3,38,57,414",2019,0.491,99.509
1438,"My Love, Don't Cross That River","3,40,12,261",0,"3,40,12,261",2014,0.000,100.000
1439,The Witness,"3,39,63,557","4,18,063","3,35,45,494",2015,1.231,98.769
1440,Doraemon the Movie: Nobita's New Dinosaur,"3,39,42,341",0,"3,39,42,341",2020,0.000,100.000
1441,The Good Liar,"3,38,56,058","1,71,56,058","1,67,00,000",2019,50.674,49.326
1442,Don't Go Breaking My Heart 2,"3,38,01,759",0,"3,38,01,759",2014,0.000,100.000
1443,The Art of Racing in the Rain,"3,37,66,787","2,63,95,642","73,71,145",2019,78.170,21.830
1444,I Want to Eat Your Pancreas,"3,37,48,006","2,77,019","3,34,70,987",2017,0.821,99.179
1445,Deliver Us from Evil,"3,37,18,703",0,"3,37,18,703",2020,0.000,100.000
1446,Nobody's Fool,"3,37,05,333","3,17,13,110","19,92,223",2018,94.089,5.911
1447,The Skin I Live In,"3,36,78,406","31,85,812","3,04,92,594",2011,9.460,90.540
1448,Three Heroes on Distant Shores,"3,36,74,759",0,"3,36,74,759",2012,0.000,100.000
1449,Gantz: Perfect Answer,"3,36,72,515",0,"3,36,72,515",2011,0.000,100.000
1450,Punch,"3,35,56,725",0,"3,35,56,725",2011,0.000,100.000
1451,Bloodshot,"3,35,42,457","1,25,61,824","2,09,80,633",2020,37.451,62.549
1452,2016: Obama's America,"3,34,49,086","3,34,49,086",0,2012,100.000,0.000
1453,Get on Up,"3,34,48,971","3,07,03,100","27,45,871",2014,91.791,8.209
1454,The Perks of Being a Wallflower,"3,33,84,127","1,77,42,948","1,56,41,179",2012,53.148,46.852
1455,Girls,"3,33,25,338",0,"3,33,25,338",2014,0.000,100.000
1456,Perfect Strangers,"3,32,62,366","10,14,507","3,22,47,859",2017,3.050,96.950
1457,Project Almanac,"3,32,13,241","2,23,48,241","1,08,65,000",2015,67.287,32.713
1458,Bharat,"3,31,85,983","29,71,549","3,02,14,434",2019,8.954,91.046
1459,Baaghi 2,"3,31,39,063","13,19,579","3,18,19,484",2018,3.982,96.018
1460,Lockout,"3,29,48,113","1,43,26,864","1,86,21,249",2012,43.483,56.517
1461,Inside Llewyn Davis,"3,29,35,319","1,32,35,319","1,97,00,000",2013,40.186,59.814
1462,Sleepless,"3,29,17,353","2,07,83,704","1,21,33,649",2017,63.139,36.861
1463,Brightburn,"3,28,93,421","1,73,00,439","1,55,92,982",2019,52.595,47.405
1464,Serial Teachers,"3,28,49,727",0,"3,28,49,727",2013,0.000,100.000
1465,Hindi Medium,"3,28,41,493",0,"3,28,41,493",2017,0.000,100.000
1466,Bait,"3,28,13,407",0,"3,28,13,407",2012,0.000,100.000
1467,The Crossing,"3,28,06,475",0,"3,28,06,475",2014,0.000,100.000
1468,Fly Me to the Saitama,"3,28,02,347",0,"3,28,02,347",2019,0.000,100.000
1469,Old Boys: The Way of the Dragon,"3,28,00,000",0,"3,28,00,000",2014,0.000,100.000
1470,Steel Rain,"3,27,83,733",0,"3,27,83,733",2017,0.000,100.000
1471,Part of Me,"3,27,26,956","2,53,26,071","74,00,885",2012,77.386,22.614
1472,Mud,"3,26,13,173","2,15,90,086","1,10,23,087",2013,66.201,33.799
1473,The Hurricane Heist,"3,25,17,248","61,15,825","2,64,01,423",2018,18.808,81.192
1474,Midsummer's Equation,"3,25,14,549",0,"3,25,14,549",2013,0.000,100.000
1475,Nameless Gangster: Rules of the Time,"3,24,72,645",0,"3,24,72,645",2012,0.000,100.000
1476,UglyDolls,"3,24,50,241","2,01,50,241","1,23,00,000",2019,62.096,37.904
1477,Movie 43,"3,24,38,988","88,40,453","2,35,98,535",2012,27.253,72.747
1478,The House That Never Dies II,"3,24,33,588",0,"3,24,33,588",2017,0.000,100.000
1479,Stuber,"3,23,90,945","2,23,70,452","1,00,20,493",2019,69.064,30.936
1480,Detective K: Secret of Virtuous Widow,"3,23,58,664",0,"3,23,58,664",2011,0.000,100.000
1481,Hit Me Anyone One More Time!,"3,23,33,512",0,"3,23,33,512",2019,0.000,100.000
1482,Kevin Hart: Let Me Explain,"3,23,18,051","3,22,44,051","74,000",2013,99.771,0.229
1483,Pokémon,"3,22,93,377",0,"3,22,93,377",2013,0.000,100.000
1484,Seven Psychopaths,"3,22,26,382","1,50,24,049","1,72,02,333",2012,46.620,53.380
1485,Somewhere Winter,"3,22,18,990",0,"3,22,18,990",2019,0.000,100.000
1486,The After-Dinner Mysteries,"3,21,60,741",0,"3,21,60,741",2013,0.000,100.000
1487,The Kid Who Would Be King,"3,21,40,970","1,67,90,790","1,53,50,180",2019,52.241,47.759
1488,Two Tigers,"3,20,01,580",0,"3,20,01,580",2019,0.000,100.000
1489,Os Dez Mandamentos - O Filme,"3,19,98,251",0,"3,19,98,251",2016,0.000,100.000
1490,Dilwale,"3,19,94,323","48,71,263","2,71,23,060",2015,15.225,84.775
1491,Suffragette,"3,19,72,096","47,02,420","2,72,69,676",2015,14.708,85.292
1492,The Floating Castle,"3,19,67,471",0,"3,19,67,471",2012,0.000,100.000
1493,The Neighbors,"3,19,49,315",0,"3,19,49,315",2012,0.000,100.000
1494,All About Me,"3,19,20,159",0,"3,19,20,159",2018,0.000,100.000
1495,Bounty Hunters,"3,19,18,573",0,"3,19,18,573",2016,0.000,100.000
1496,Bad Times at the El Royale,"3,18,82,724","1,78,39,115","1,40,43,609",2018,55.952,44.048
1497,Tinker Bell and the Legend of the NeverBeast,"3,18,36,701",0,"3,18,36,701",2014,0.000,100.000
